rTime,time,frame,number,goodnumber,persistence,speed,speed_number,speed_std,angular,length,width,Morphwidth,midline,kink,pathlen,curve,id,bias,direction,crab,Custom,pathlenPerWorm,straightness
1,1.01,31,22,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
2,2.011,60,27,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
3,3.011,68,30,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
4,4.122,84,29,1,69.5,0,0,0,0,0.5151,0.1751,0.0733,0.5632,36,0,37.2,19,-1,0,0,-2.07,0,NaN
5,5.457,92,32,4,62.3,0.1327,4,0.0858,8.1,0.5495,0.1772,0.0984,0.6855,32.6,0.037,33.9,14,0.5,0,0.0132,1.343,0.00925,0.995040312182455
6,6.03,101,35,4,62.3,0.1302,4,0.0948,11,0.5784,0.1751,0.0967,0.6702,42.1,0.083,42.8,14,0,0.003,0.0171,0.733,0.02075,0.991337857938691
7,7.013,115,37,6,44.7,0.1066,5,0.0886,19,0.4655,0.2658,0.1157,0.6752,79.7,0.076,44.7,18,0.167,0,0.0366,-0.336,0.0126666666666667,0.939211332891844
8,8.014,134,42,8,53.6,0.0823,7,0.0814,12.6,0.459,0.2771,0.1285,0.7062,84.1,0.11,51.6,19,0.5,0.185,0.0141,0.725,0.01375,0.985214668048251
9,9.035,156,47,7,61.1,0.1204,7,0.0932,17.4,0.4682,0.2297,0.1203,0.6153,56.3,0.188,35.9,16,0.286,0,0.0151,0.39,0.0268571428571429,0.99210433269013
10,10.003,178,52,8,148.4,0.1168,7,0.0955,15.4,0.4956,0.2304,0.1125,0.6411,43.6,0.189,43,19,0.375,0.062,0.0204,-0.583,0.023625,0.984629242776643
11,11.016,208,54,8,148.4,0.0913,8,0.0691,10.4,0.4762,0.1891,0.1137,0.5863,49.3,0.181,37,19,0.125,0,0.014,-0.002,0.022625,0.988173390440919
12,12.015,238,53,9,132.4,0.1186,8,0.082,31.1,0.5032,0.1985,0.1156,0.6233,57.3,0.24,41.1,18,0.444,0,0.0339,-0.551,0.0266666666666667,0.958278927139503
