rTime,time,frame,number,goodnumber,persistence,speed,speed_number,speed_std,angular,length,width,Morphwidth,midline,kink,pathlen,curve,id,bias,direction,crab,Custom,pathlenPerWorm,straightness
1,1.085,8,257,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN
2,2.361,13,251,1,54.3,0,0,0,0,0.4624,0.357,0.0961,0.7683,91.8,0,48.1,93,-1,0,0,-3.305,0,NaN
3,3.052,20,266,4,20.7,0.0402,1,0.0402,5.1,0.5045,0.2614,0.1078,0.7071,68.4,0.005,44.6,146,1,0,0.02,-0.721,0.00125,0.867456842859292
4,4.04,26,271,16,15.5,0.1183,6,0.1041,12.4,0.6884,0.2372,0.0997,0.8487,51.5,0.054,36.1,142,0.688,0,0.0104,-0.065,0.003375,0.996128237125591
5,5.089,34,272,41,42.7,0.1282,20,0.0814,10.2,0.6866,0.2311,0.0995,0.8331,57.4,0.103,37.4,144,0.756,0.002,0.017,0.294,0.00251219512195122,0.99116892268412
6,6.328,43,274,59,34.5,0.1317,47,0.0722,11.8,0.7044,0.2394,0.1011,0.8597,58.7,0.188,38,142,0.797,0.047,0.012,-0.086,0.0031864406779661,0.995840269820333
7,7.041,50,280,62,34.2,0.1325,53,0.072,7.4,0.7343,0.2346,0.1026,0.8778,55.8,0.241,39.1,148,0.726,0.003,0.0132,-0.037,0.00388709677419355,0.995025290783447
8,8.075,60,280,71,32,0.128,63,0.0685,9.5,0.7369,0.2201,0.0993,0.8703,49.6,0.307,36.9,162,0.761,0.008,0.0135,-0.128,0.00432394366197183,0.994422617790564
9,9.077,68,275,79,37.3,0.1314,69,0.0702,12.8,0.7205,0.2344,0.101,0.8639,51.4,0.378,36.8,181,0.671,0.018,0.0137,0.269,0.00478481012658228,0.99454988707755
10,10.003,73,273,85,36.3,0.1263,72,0.0756,9.8,0.7179,0.2279,0.1002,0.8566,53.6,0.429,38.5,200,0.565,0.03,0.0143,0.282,0.00504705882352941,0.993569659677342
11,11.232,82,278,80,40.4,0.1197,73,0.0719,7.9,0.7238,0.23,0.1014,0.8722,51.7,0.486,39.6,217,0.7,0.039,0.0138,0.554,0.006075,0.993332082539418
12,12.036,90,287,85,39.8,0.1205,76,0.0711,11.1,0.7186,0.2287,0.1,0.8631,48.2,0.522,37.4,220,0.6,0.018,0.0135,0.249,0.00614117647058824,0.993704464724519
13,13.053,100,283,88,43.7,0.1105,84,0.0771,10.5,0.7208,0.2245,0.0994,0.857,47.4,0.555,36.1,247,0.523,0.006,0.0117,-0.123,0.00630681818181818,0.994378663958374
14,14.089,109,286,91,43.2,0.1159,79,0.076,9.8,0.6998,0.2285,0.1,0.8449,54.6,0.594,38.5,245,0.407,0.006,0.0145,-0.135,0.00652747252747253,0.992143147670225
15,15.177,117,254,92,43.3,0.1153,81,0.073,8.1,0.7056,0.2307,0.0992,0.8604,53.2,0.616,39.3,254,0.554,0.066,0.0124,-0.267,0.00669565217391304,0.994200160052096
16,16.093,123,261,87,45.7,0.1048,78,0.0652,11.5,0.7094,0.2293,0.0978,0.8575,53.4,0.674,37.9,267,0.529,0.054,0.0141,-0.283,0.00774712643678161,0.990907893976101
17,17.007,130,268,86,46.4,0.1133,80,0.0732,10.4,0.7183,0.2175,0.1001,0.8545,54.9,0.675,37.9,299,0.5,0.025,0.0125,-0.007,0.00784883720930233,0.993895391222858
18,18.057,138,268,94,43.9,0.1018,85,0.0741,6.7,0.7154,0.2294,0.0967,0.8623,57.7,0.662,37.3,324,0.5,0.007,0.0117,-0.021,0.00704255319148936,0.993373449713608
19,19.087,148,276,98,44.7,0.1036,86,0.0788,12.3,0.7128,0.2407,0.0966,0.8696,56.2,0.687,38.5,347,0.48,0.037,0.0138,-0.148,0.00701020408163265,0.991088555928691
20,20.091,158,270,93,48.6,0.1,88,0.076,10.2,0.6989,0.2436,0.0994,0.8652,59.4,0.708,38.9,361,0.43,0.019,0.0143,0.18,0.00761290322580645,0.989722688433482
21,21.091,168,285,92,49.4,0.1009,82,0.0714,8.7,0.722,0.2331,0.0974,0.8573,52.1,0.745,36.3,391,0.467,0.007,0.0124,0.032,0.00809782608695652,0.992419808331836
22,22.092,178,283,85,52.7,0.1062,82,0.0707,8.5,0.703,0.2311,0.0995,0.8536,57.9,0.749,38.2,415,0.553,0.031,0.0121,0.157,0.00881176470588235,0.993488094931287
23,23.096,188,289,84,53.9,0.1041,78,0.0711,13.1,0.7089,0.2346,0.0955,0.8541,58.9,0.779,37.3,438,0.488,0.01,0.0148,0.192,0.00927380952380952,0.989842113553255
24,24.092,198,291,81,56.9,0.0816,79,0.0632,6.4,0.7007,0.236,0.0958,0.851,59.1,0.804,39.9,427,0.568,0.019,0.0122,-0.012,0.00992592592592593,0.988760243199196
25,25.095,208,282,83,59.7,0.0919,79,0.072,7.5,0.7036,0.2305,0.099,0.8437,60.5,0.818,37.7,439,0.47,0.025,0.0112,-0.167,0.00985542168674699,0.992545874617154
26,26.099,218,285,85,58.7,0.0914,81,0.0751,8,0.7035,0.2309,0.1006,0.843,58.5,0.839,36.8,479,0.376,0.009,0.01,0.002,0.00987058823529412,0.993996795297724
27,27.098,228,289,86,58.1,0.094,82,0.0726,10.3,0.6998,0.2321,0.0971,0.8441,55.8,0.812,37.1,511,0.349,0.015,0.0096,-0.065,0.00944186046511628,0.994771300927928
28,28.098,238,292,89,58.7,0.0866,86,0.069,8,0.7026,0.2238,0.0978,0.845,59.5,0.737,37,560,0.528,0.039,0.0101,-0.176,0.00828089887640449,0.993175648450445
29,29.097,248,304,92,57.2,0.0915,91,0.0699,8.4,0.7057,0.2418,0.0984,0.8585,57.8,0.774,37.8,588,0.467,0.038,0.0094,0.219,0.00841304347826087,0.99470904629181
30,30.092,258,309,93,56.8,0.0928,91,0.0661,9.7,0.7056,0.2303,0.0963,0.8608,62.4,0.827,37.3,601,0.43,0.011,0.0097,-0.083,0.00889247311827957,0.994522168761833
31,31.003,267,319,92,57,0.0897,89,0.0669,11.2,0.7011,0.2284,0.0945,0.8513,60.6,0.86,37.4,611,0.315,0.027,0.0099,-0.024,0.00934782608695652,0.993890802955691
32,32.099,278,319,93,57.9,0.0913,84,0.0726,7.8,0.7106,0.2227,0.0954,0.8521,58.5,0.859,36.5,695,0.376,0.006,0.0113,-0.154,0.00923655913978495,0.992311207264502
33,33.099,288,325,95,56.9,0.0902,89,0.0714,8.6,0.7218,0.2216,0.0985,0.8574,53.3,0.866,38.2,717,0.379,0.016,0.0112,-0.064,0.00911578947368421,0.992261145076544
34,34.033,297,321,92,60,0.0813,86,0.0667,8.2,0.7041,0.2246,0.097,0.8514,59.9,0.859,37.8,768,0.272,0.038,0.0109,0.009,0.00933695652173913,0.99097168254159
35,35.035,307,319,88,70.5,0.0764,80,0.0587,8.4,0.717,0.234,0.0996,0.8557,56.7,0.849,37.3,733,0.386,0,0.0087,0.206,0.00964772727272727,0.993495160242675
36,36.031,317,302,87,73.1,0.0798,80,0.0625,9.6,0.6953,0.2379,0.1001,0.8518,58.6,0.85,37.3,800,0.598,0.023,0.0109,0.331,0.00977011494252874,0.990627461736973
37,37.03,327,301,90,76.8,0.0939,82,0.0691,9.8,0.7001,0.239,0.0985,0.8515,60.5,0.863,37.9,859,0.567,0.013,0.0116,0.228,0.00958888888888889,0.99234013155426
38,38.036,337,291,90,79.2,0.0897,83,0.0692,7.8,0.7181,0.2373,0.1014,0.8604,55.6,0.915,36.5,874,0.444,0.001,0.0109,0.141,0.0101666666666667,0.992589452717007
39,39.029,347,292,88,80.6,0.0865,85,0.07,7.5,0.7127,0.2316,0.0994,0.8512,51.4,0.967,36.1,888,0.489,0.018,0.0095,0.072,0.0109886363636364,0.993950763477673
40,40.028,357,295,91,79,0.0908,87,0.0716,8.1,0.7162,0.2258,0.0996,0.851,54.5,0.964,34.9,933,0.385,0.021,0.0092,0.215,0.0105934065934066,0.994853726047244
